District,Location,Types of Operating Hours,"For Vehicles Other Than Medium and Heavy Goods Vehicles, Buses, Motor Cycles and Pedal Cycles ",For Goods Vehicles,For Coaches
CENTRAL AND WESTERN,BONHAM STRAND,D,3,0,0
CENTRAL AND WESTERN,BOWEN DRIVE ,D,6,0,0
CENTRAL AND WESTERN,BOWEN DRIVE UPPER ,D,16,0,0
CENTRAL AND WESTERN,BOWEN ROAD,D,6,0,0
CENTRAL AND WESTERN,BREWIN PATH,D,5,0,0
CENTRAL AND WESTERN,CADOGAN STREET,H,0,4,0
CENTRAL AND WESTERN,CASTLE ROAD,D,10,0,0
CENTRAL AND WESTERN,COTTON TREE DRIVE (LOWER PEAK TRAM TERMINAL CAR PARK),D,14,0,2
CENTRAL AND WESTERN,COTTON TREE DRIVE CAR PARK,D,17,0,0
CENTRAL AND WESTERN,DAVIS STREET,D,4,0,0
CENTRAL AND WESTERN,FIRST STREET,D,11,0,0
CENTRAL AND WESTERN,FORBES STREET,H,0,4,0
CENTRAL AND WESTERN,FUNG MAT ROAD,B,0,27,0
CENTRAL AND WESTERN,HAU WO STREET,H,0,10,0
CENTRAL AND WESTERN,HIGH STREET,D,48,0,0
CENTRAL AND WESTERN,HILL ROAD,D,16,0,0
CENTRAL AND WESTERN,HILLER STREET,D,4,0,0
CENTRAL AND WESTERN,HOLLYWOOD ROAD,J,0,0,3
CENTRAL AND WESTERN,HORNSEY ROAD,D,14,0,0
CENTRAL AND WESTERN,JERVOIS STREET,D,29,0,0
CENTRAL AND WESTERN,KO SHING STREET,D,8,0,0
CENTRAL AND WESTERN,LOK KU ROAD ,D,28,0,3
CENTRAL AND WESTERN,LUNG WUI ROAD,D,12,0,0
CENTRAL AND WESTERN,LYTTELTON ROAD,D,5,0,0
CENTRAL AND WESTERN,MACDONNELL ROAD,D,5,0,0
CENTRAL AND WESTERN,MAY ROAD,D,14,0,0
CENTRAL AND WESTERN,MERCER STREET,D,5,0,0
CENTRAL AND WESTERN,MOSQUE STREET,D,2,0,0
CENTRAL AND WESTERN,MOUNT AUSTIN ROAD CAR PARK,D,21,0,0
CENTRAL AND WESTERN,MOUNT KELLETT ROAD,D,3,0,0
CENTRAL AND WESTERN,NEW PRAYA KENNEDY TOWN,D,14,0,0
CENTRAL AND WESTERN,NEW STREET,D,8,0,0
CENTRAL AND WESTERN,NORTH STREET,D,14,0,0
CENTRAL AND WESTERN,OLD BAILEY STREET,D,4,0,0
CENTRAL AND WESTERN,PEAK ROAD,D,26,0,0
CENTRAL AND WESTERN,PO HING FONG,D,3,0,0
CENTRAL AND WESTERN,PO TUCK STREET,D,10,0,0
CENTRAL AND WESTERN,POKFULAM ROAD (OLD POKFULAM ROAD),D,8,0,0
CENTRAL AND WESTERN,SECOND STREET,D,7,0,0
CENTRAL AND WESTERN,SEYMOUR ROAD,D,5,0,1
CENTRAL AND WESTERN,SEYMOUR ROAD,J,0,0,1
CENTRAL AND WESTERN,SOUTH LANE,J,2,0,0
CENTRAL AND WESTERN,THIRD STREET,D,5,0,0
CENTRAL AND WESTERN,TREGUNTER PATH,D,3,0,0
CENTRAL AND WESTERN,UPPER ALBERT ROAD,D,21,0,0
CENTRAL AND WESTERN,VICTORIA ROAD,D,4,0,0
EASTERN,BRAEMAR HILL ROAD,D,10,0,0
EASTERN,CHEUNG LEE STREET,H,0,5,0
EASTERN,CHONG FU ROAD,B,0,0,17
EASTERN,FUNG YIP STREET,H,0,8,0
